Global Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
190001,-1.05
190002,-0.36
190003,-0.03
190004,-0.28
190005,0.04
190006,0.01
190007,-0.19
190008,-0.03
190009,-0.10
190010,0.26
190011,-0.36
190012,0.18
190101,-0.43
190102,-0.24
190103,0.17
190104,0.07
190105,-0.10
190106,0.06
190107,0.07
190108,-0.01
190109,-0.19
190110,-0.46
190111,-0.11
190112,-0.41
190201,0.18
190202,0.42
190203,-0.27
190204,-0.54
190205,-0.32
190206,-0.28
190207,-0.21
190208,-0.28
190209,-0.27
190210,-0.53
190211,-0.74
190212,-0.82
190301,-0.19
190302,0.29
190303,-0.27
190304,-0.48
190305,-0.53
190306,-0.46
190307,-0.38
190308,-0.36
190309,-0.41
190310,-0.66
190311,-0.56
190312,-0.65
190401,-0.91
190402,-0.68
190403,-0.76
190404,-0.59
190405,-0.31
190406,-0.39
190407,-0.48
190408,-0.35
190409,-0.51
190410,-0.54
190411,0.35
190412,-0.12
190501,-0.33
190502,-1.32
190503,-0.72
190504,-0.71
190505,-0.26
190506,-0.22
190507,-0.19
190508,-0.17
190509,-0.13
190510,-0.27
190511,0.24
190512,0.05
190601,-0.27
190602,-0.65
190603,-0.30
190604,0.19
190605,0.03
190606,0.03
190607,-0.15
190608,-0.17
190609,-0.24
190610,-0.24
190611,-0.52
190612,0.12
190701,-0.68
190702,-0.90
190703,-0.55
190704,-0.80
190705,-0.90
190706,-0.66
190707,-0.46
190708,-0.40
190709,-0.38
190710,-0.26
190711,-0.83
190712,-0.65
190801,-0.34
190802,-0.45
190803,-1.06
190804,-0.60
190805,-0.26
190806,-0.28
190807,-0.19
190808,-0.43
190809,-0.15
190810,-0.55
190811,-0.65
190812,-0.38
190901,-0.96
190902,-0.51
190903,-0.65
190904,-0.95
190905,-0.65
190906,-0.43
190907,-0.36
190908,-0.11
190909,-0.19
190910,-0.19
190911,0.24
190912,-0.27
191001,-0.17
191002,-0.37
191003,-0.57
191004,-0.24
191005,-0.24
191006,-0.23
191007,-0.03
191008,-0.18
191009,-0.33
191010,-0.48
191011,-0.62
191012,-0.83
191101,-0.79
191102,-0.75
191103,-0.87
191104,-0.58
191105,-0.48
191106,-0.44
191107,-0.40
191108,-0.40
191109,-0.40
191110,-0.30
191111,-0.19
191112,-0.26
191201,-0.43
191202,-0.05
191203,-0.82
191204,-0.32
191205,-0.16
191206,-0.12
191207,-0.53
191208,-0.66
191209,-0.77
191210,-0.94
191211,-0.51
191212,-0.54
191301,-0.50
191302,-0.79
191303,-0.78
191304,-0.38
191305,-0.56
191306,-0.42
191307,-0.18
191308,-0.12
191309,-0.28
191310,-0.36
191311,0.12
191312,0.44
191401,0.82
191402,0.06
191403,-0.18
191404,-0.30
191405,0.07
191406,0.00
191407,-0.22
191408,-0.27
191409,-0.19
191410,-0.08
191411,-0.24
191412,-0.24
191501,-0.29
191502,0.08
191503,-0.21
191504,0.19
191505,0.02
191506,-0.19
191507,0.01
191508,-0.12
191509,-0.27
191510,-0.48
191511,0.16
